id,name,category,categoryLabel,image,tags,description,fullDescription,fabric,weight,sizes,colors,moq,leadTime,techniques,features
1,Heavyweight Oversized Tee,tshirt,T-SHIRT,/images/product-1.jpg,"Garment Wash, Screen Print",280gsm heavyweight cotton oversized fit garment dyed,"A staple heavyweight tee built for streetwear brands. Crafted from premium 280gsm combed cotton with an oversized boxy silhouette. Garment dyed for rich, lasting color and a lived-in feel from day one.",100% Combed Cotton,280 gsm,"S, M, L, XL, XXL","Black, Washed Black, Vintage Grey, Bone, Olive",500,35-45 days,"Garment Wash, Screen Print, Embroidery","Oversized boxy fit, Double-stitched hems, Pre-shrunk fabric, Ribbed crew neckline"
2,Vintage Wash Graphic Tee,tshirt,T-SHIRT,/images/product-2.jpg,"Stone Wash, Discharge Print",Vintage stone wash soft hand feel faded graphic print,"Vintage-inspired tee with authentic stone wash finish. Discharge printing technique creates a soft, faded graphic that becomes part of the fabric — never cracks or peels.",100% Cotton Jersey,240 gsm,"S, M, L, XL, XXL","Vintage Black, Faded Grey, Dusty Blue, Sun-bleached White",500,40-50 days,"Stone Wash, Discharge Print, DTG Print","Authentic stone wash finish, Soft hand-feel discharge print, Relaxed fit, Tonal ribbed collar"
3,Boxy Fit Pocket Tee,tshirt,T-SHIRT,/images/product-3.jpg,Enzyme Wash,Boxy cropped fit chest pocket premium jersey fabric,"Minimalist boxy fit tee with a clean chest pocket detail. Enzyme washed for an ultra-soft touch and subtle surface texture. Perfect blank canvas for branding.",100% Premium Cotton Jersey,220 gsm,"S, M, L, XL","White, Bone, Sage, Sand, Black",500,30-40 days,"Enzyme Wash, Embroidery, Screen Print","Boxy cropped silhouette, Chest pocket detail, Enzyme washed softness, Tonal stitching"
4,Embroidered Pique Polo,polo,POLO,/images/product-4.jpg,Embroidery,Classic pique polo with custom embroidery regular fit,"Elevated street polo in classic pique knit. Custom embroidery available for logos and branding. A versatile piece bridging smart and street.",100% Cotton Pique,260 gsm,"S, M, L, XL, XXL","Black, Navy, White, Burgundy, Forest",500,35-45 days,"Embroidery, Garment Wash","Classic pique knit, Two-button placket, Ribbed collar & cuffs, Custom embroidery ready"
5,Oversized Street Polo,polo,POLO,/images/product-5.jpg,"Print, Wash",Drop shoulder oversized polo garment washed for softness,"Modern oversized polo with drop shoulder construction. Garment washed for a broken-in feel. Combines classic polo DNA with contemporary streetwear proportions.",100% Cotton Pique,280 gsm,"S, M, L, XL, XXL","Washed White, Faded Black, Dusty Pink, Stone Grey",500,40-50 days,"Garment Wash, Screen Print, Embroidery","Drop shoulder oversized fit, Garment washed softness, Extended hem length, Tonal embroidery-ready"
6,Heavyweight Hoodie,sweatshirt,HOODIE,/images/product-6.jpg,"Garment Wash, Embroidery",400gsm heavyweight fleece hoodie oversized fit lined hood,"Premium heavyweight hoodie built to last. 400gsm brushed-back fleece with a lined hood for structure. Oversized fit for authentic streetwear drape.",100% Cotton Fleece (Brushed Back),400 gsm,"S, M, L, XL, XXL, XXXL","Black, Charcoal, Bone, Washed Black, Olive",300,40-50 days,"Garment Wash, Embroidery, Screen Print, Puff Print","Heavyweight 400gsm fleece, Double-lined hood, Heavy-duty drawcords, Ribbed cuffs & hem, Kangaroo pocket"
7,Vintage Wash Crewneck,sweatshirt,CREWNECK,/images/product-7.jpg,"Acid Wash, Puff Print",Acid washed crewneck sweatshirt with 3D puff print graphic,"Statement crewneck with acid wash treatment for one-of-a-kind finish. 3D puff print adds dimensional graphic impact. Each piece is uniquely finished.",100% Cotton Fleece,380 gsm,"S, M, L, XL, XXL","Acid Grey, Washed Black, Vintage Cream",300,45-55 days,"Acid Wash, Puff Print, Embroidery","Unique acid wash finish, 3D puff print graphic, Relaxed fit, Ribbed V-insert at collar"
8,Zip-Up Hooded Jacket,sweatshirt,HOODIE,/images/product-8.jpg,"Embroidery, Wash",Full zip fleece hoodie kangaroo pocket ribbed cuffs & hem,"Versatile zip-up hoodie with premium YKK hardware. Brushed fleece interior for warmth. Tailored for layering in streetwear fits.",100% Cotton Fleece,380 gsm,"S, M, L, XL, XXL, XXXL","Charcoal, Black, Stone, Navy",300,40-50 days,"Garment Wash, Embroidery, Screen Print","YKK metal zipper, Dual side pockets, Lined hood, Ribbed cuffs & hem"
9,Fleece Jogger Pants,fleece-pants,JOGGER,/images/product-9.jpg,"Garment Wash, Embroidery",Premium fleece joggers with tapered leg side pockets ribbed cuffs,"Premium tapered joggers in heavyweight fleece. Garment washed for softness with ribbed cuffs for a clean stacked silhouette. The perfect set-building bottom.",100% Cotton Fleece,380 gsm,"S, M, L, XL, XXL","Black, Charcoal, Bone, Olive",300,40-50 days,"Garment Wash, Embroidery, Screen Print","Tapered leg silhouette, Elastic waistband with drawcord, Side & back pockets, Ribbed ankle cuffs"
10,Wide Leg Sweatpants,fleece-pants,SWEATPANTS,/images/product-10.jpg,"Stone Wash, Print",Baggy wide-leg sweatpants elastic waist vintage wash finish,"Oversized wide-leg sweatpants with vintage stone wash finish. Baggy silhouette for on-trend streetwear styling. Pairs seamlessly with our heavyweight hoodies.",100% Cotton Fleece,400 gsm,"S, M, L, XL, XXL","Vintage Grey, Washed Black, Faded Bone",300,45-55 days,"Stone Wash, Screen Print, Embroidery","Wide-leg baggy fit, Stone wash vintage finish, Elastic waist with drawcord, Deep side pockets"
11,Cargo Fleece Pants,fleece-pants,CARGO,/images/product-11.jpg,Garment Wash,Utility cargo style fleece pants multiple pockets relaxed fit,"Utility-inspired cargo pants in heavyweight fleece. Multiple functional pockets with a relaxed fit. Where streetwear meets workwear utility.",100% Cotton Fleece,400 gsm,"S, M, L, XL, XXL","Black, Charcoal, Khaki, Olive",300,40-50 days,"Garment Wash, Embroidery, Screen Print","Multi-pocket utility design, Relaxed straight fit, Garment washed softness, Reinforced stress points"
12,Graphic Print Tee,tshirt,T-SHIRT,/images/product-12.jpg,"DTG Print, Screen Print",100% cotton tee with full front graphic soft hand feel print,"Blank-canvas tee optimized for full-front graphic printing. Available in DTG for short runs or screen print for volume. Smooth surface ensures crisp, vibrant prints.",100% Ring-spun Cotton,240 gsm,"S, M, L, XL, XXL, XXXL","White, Black, Athletic Heather, Natural",500,30-40 days,"DTG Print, Screen Print, Discharge Print","Print-optimized smooth surface, Tear-away label option, True-to-size classic fit, Side-seamed construction"
